OID_,pointid,grid_code,dNDVI,dNDVIre1n,dNDVIre2n,dNDVIre3n,dNBR,dNBR2,dCSI,dBSI,NDVI,NDVIre1n,NDVIre2n,NDVIre3n,CSI,BSI,NBR,NBR2,Elevation,Aspect,Slope,NDBI,dNDBI,dNDVI_dNDBI,dNDVI_dNDBI_divided_by_2,dCSI_cat,post_NDBI,NDVI_NDBI
1,2,0.1513992,0.0270103,-0.0257428,-0.0351474,-0.0158734,0.0060644,-0.0123292,-0.0427957,0.0062571,0.1513992,0.1525857,0.0636292,0.0211161,1.5027747,0.0058751,0.1437396,0.1559719,17.936285,59.2364578,2.5973642,0.0125128,-0.0188395,-4.58E-02,-0.0229249,0,0.0313523,0.163912
2,5,0.1143384,0.0149702,-0.0133906,-0.0131092,-0.0076398,0.069271,-0.0049788,0.0211213,0.0062571,0.1143384,0.1498965,0.0790752,0.0252908,1.4440978,0.0058751,0.1302578,0.1443826,18.4945049,181.2394257,1.7063861,0.0143956,-0.0747915,-8.98E-02,-0.0448809,1,0.0891871,0.128734
3,6,0.1347816,0.0378384,0.0046763,-0.017152,0.0028965,0.0470424,0.0093283,0.0810226,0.0062571,0.1347816,0.1686721,0.0739847,0.0326696,1.4627601,0.0058751,0.1258976,0.1598804,18.3607292,131.9524536,2.0945082,0.0346809,-0.0378775,-7.57E-02,-0.0378579,2,0.0725584,0.1694625
4,7,0.1336127,0.0352069,0.0046763,-0.017152,0.0028965,0.0470424,0.0093283,0.0810226,0.0062571,0.1336127,0.1686721,0.0739847,0.0326696,1.4627601,0.0058751,0.1258976,0.1598804,18.1885738,82.1992264,2.5537527,0.0346809,-0.0378775,-7.31E-02,-0.0365422,2,0.0725584,0.1682936
5,12,0.1131403,0.0241186,-0.0133906,-0.0131092,-0.0076398,0.069271,-0.0049788,0.0211213,0.0062571,0.1131403,0.1498965,0.0790752,0.0252908,1.4440978,0.0058751,0.1302578,0.1443826,18.8092003,281.8709412,1.2870548,0.0143956,-0.0747915,-9.89E-02,-0.049455,1,0.0891871,0.1275359
6,13,0.1464536,0.0599358,0.0046763,-0.017152,0.0028965,0.0470424,0.0093283,0.0810226,0.0062571,0.1464536,0.1686721,0.0739847,0.0326696,1.4627601,0.0058751,0.1258976,0.1598804,18.786375,204.2873077,1.5907758,0.0346809,-0.0378775,-9.78E-02,-0.0489066,2,0.0725584,0.1811345
7,14,0.1666667,0.0750591,0.0046763,-0.017152,0.0028965,0.0470424,0.0093283,0.0810226,0.0062571,0.1666667,0.1686721,0.0739847,0.0326696,1.4627601,0.0058751,0.1258976,0.1598804,18.7270126,118.7161407,1.9676425,0.0346809,-0.0378775,-0.112936586,-0.0564683,2,0.0725584,0.2013476
8,16,0.2143054,0.052545,0.015667,-0.0245474,-0.0101697,0.0352526,-0.0075729,-0.028801,0.0011748,0.2143054,0.2187423,0.0828221,0.028512,1.5253086,-0.0164589,0.163871,0.1722023,18.9182091,295.7714539,7.005547,0.0085733,-0.0437945,-9.63E-02,-0.0481697,0,0.0523678,0.2228787
9,17,0.1827605,0.0360627,0.015667,-0.0245474,-0.0101697,0.0352526,-0.0075729,-0.028801,0.0011748,0.1827605,0.2187423,0.0828221,0.028512,1.5253086,-0.0164589,0.163871,0.1722023,19.4659405,310.5970154,6.2303853,0.0085733,-0.0437945,-7.99E-02,-0.0399286,0,0.0523678,0.1913338
10,18,0.1391885,0.0124762,-0.0102626,-0.026255,-0.0124623,0.0230666,-0.0150968,-0.0367616,0.0203565,0.1391885,0.1765795,0.0764345,0.0217042,1.3770314,0.0091354,0.1092883,0.146753,20.0100632,325.4923706,5.4599562,0.0380753,-0.038623,-5.11E-02,-0.0255496,0,0.0766983,0.1772638
11,19,0.1749308,0.0324823,-0.0102626,-0.026255,-0.0124623,0.0230666,-0.0150968,-0.0367616,0.0203565,0.1749308,0.1765795,0.0764345,0.0217042,1.3770314,0.0091354,0.1092883,0.146753,20.1753216,302.0586548,4.9773459,0.0380753,-0.038623,-7.11E-02,-0.0355526,0,0.0766983,0.2130061
12,20,0.2010776,0.0496662,-0.0069702,-0.021709,-0.0088385,0.0380644,-0.0016887,0.0701038,0.0203565,0.2010776,0.1856952,0.079911,0.0269334,1.455289,0.0091354,0.123327,0.1587156,19.5427513,197.115921,5.0962558,0.0360952,-0.0400884,-8.98E-02,-0.0448773,2,0.0761836,0.2371728
13,23,0.1086664,0.0334784,-0.0156633,-0.0191179,0.0036471,0.0340308,0.0108771,0.0000131,0.0173611,0.1086664,0.145627,0.070922,0.0275992,1.4230367,0.0135305,0.1282519,0.1463687,18.9665108,329.2023315,1.0159894,0.0184634,-0.0233408,-5.68E-02,-0.0284096,1,0.0418042,0.1271298
14,24,0.141341,0.0537296,0.0026535,0.0008364,0.0073865,-0.0143242,0.0091067,-0.0484014,0.0173611,0.141341,0.1505893,0.0783391,0.0238881,1.3428426,0.0135305,0.0899397,0.1435428,19,241.7499237,1.2696031,0.0543041,0.023703,-3.00E-02,-0.0150133,0,0.0306011,0.1956451
15,25,0.1261153,0.0441079,0.0026535,0.0008364,0.0073865,-0.0143242,0.0091067,-0.0484014,0.0173611,0.1261153,0.1505893,0.0783391,0.0238881,1.3428426,0.0135305,0.0899397,0.1435428,19,143.5054474,1.5946387,0.0543041,0.023703,-2.04E-02,-0.0102025,0,0.0306011,0.1804194
16,26,0.1820062,0.0669352,0.0164602,-0.0041123,0.0037454,-0.0387513,-0.0090928,-0.1210744,0.0145608,0.1820062,0.1943675,0.0885756,0.0345931,1.261336,0.0155359,0.0382181,0.1261185,18.9930515,47.1874084,1.9142102,0.0883261,0.0294717,-3.75E-02,-0.0187318,0,0.0588544,0.2703323
17,27,0.222839,0.0770804,0.0164602,-0.0041123,0.0037454,-0.0387513,-0.0090928,-0.1210744,0.0145608,0.222839,0.1943675,0.0885756,0.0345931,1.261336,0.0155359,0.0382181,0.1261185,18.6462383,50.4060249,1.9573935,0.0883261,0.0294717,-0.04760867,-0.0238043,0,0.0588544,0.3111651
