OID_,pointid,grid_code,dCSI,NDVIre1n,NDVIre2n,NDVIre3n,CSI,BSI,NBR,NBR2,Elevation,Aspect,Slope,NDVI_NDBI,dCSI_cat
1,2,0.1513992,-0.0427957,0.1525857,0.0636292,0.0211161,1.5027747,0.0058751,0.1437396,0.1559719,17.936285,59.2364578,2.5973642,0.163912,1
2,5,0.1143384,0.0211213,0.1498965,0.0790752,0.0252908,1.4440978,0.0058751,0.1302578,0.1443826,18.4945049,181.2394257,1.7063861,0.128734,1
3,6,0.1347816,0.0810226,0.1686721,0.0739847,0.0326696,1.4627601,0.0058751,0.1258976,0.1598804,18.3607292,131.9524536,2.0945082,0.1694625,1
4,7,0.1336127,0.0810226,0.1686721,0.0739847,0.0326696,1.4627601,0.0058751,0.1258976,0.1598804,18.1885738,82.1992264,2.5537527,0.1682936,1
5,12,0.1131403,0.0211213,0.1498965,0.0790752,0.0252908,1.4440978,0.0058751,0.1302578,0.1443826,18.8092003,281.8709412,1.2870548,0.1275359,1
6,13,0.1464536,0.0810226,0.1686721,0.0739847,0.0326696,1.4627601,0.0058751,0.1258976,0.1598804,18.786375,204.2873077,1.5907758,0.1811345,1
7,14,0.1666667,0.0810226,0.1686721,0.0739847,0.0326696,1.4627601,0.0058751,0.1258976,0.1598804,18.7270126,118.7161407,1.9676425,0.2013476,1
8,16,0.2143054,-0.028801,0.2187423,0.0828221,0.028512,1.5253086,-0.0164589,0.163871,0.1722023,18.9182091,295.7714539,7.005547,0.2228787,1
9,17,0.1827605,-0.028801,0.2187423,0.0828221,0.028512,1.5253086,-0.0164589,0.163871,0.1722023,19.4659405,310.5970154,6.2303853,0.1913338,1
10,18,0.1391885,-0.0367616,0.1765795,0.0764345,0.0217042,1.3770314,0.0091354,0.1092883,0.146753,20.0100632,325.4923706,5.4599562,0.1772638,1
11,19,0.1749308,-0.0367616,0.1765795,0.0764345,0.0217042,1.3770314,0.0091354,0.1092883,0.146753,20.1753216,302.0586548,4.9773459,0.2130061,1
12,20,0.2010776,0.0701038,0.1856952,0.079911,0.0269334,1.455289,0.0091354,0.123327,0.1587156,19.5427513,197.115921,5.0962558,0.2371728,1
13,23,0.1086664,1.31e-05,0.145627,0.070922,0.0275992,1.4230367,0.0135305,0.1282519,0.1463687,18.9665108,329.2023315,1.0159894,0.1271298,1
14,24,0.141341,-0.0484014,0.1505893,0.0783391,0.0238881,1.3428426,0.0135305,0.0899397,0.1435428,19.0,241.7499237,1.2696031,0.1956451,1
15,25,0.1261153,-0.0484014,0.1505893,0.0783391,0.0238881,1.3428426,0.0135305,0.0899397,0.1435428,19.0,143.5054474,1.5946387,0.1804194,1
16,26,0.1820062,-0.1210744,0.1943675,0.0885756,0.0345931,1.261336,0.0155359,0.0382181,0.1261185,18.9930515,47.1874084,1.9142102,0.2703323,1
17,27,0.222839,-0.1210744,0.1943675,0.0885756,0.0345931,1.261336,0.0155359,0.0382181,0.1261185,18.6462383,50.4060249,1.9573935,0.3111651,1
18,28,0.1449007,0.0300938,0.1616712,0.1018738,0.0572432,1.053542,0.0155359,-0.0120884,0.0982358,18.299427,53.6232643,1.9994389,0.2550941,1
19,29,0.2196185,-0.028801,0.2187423,0.0828221,0.028512,1.5253086,-0.0164589,0.163871,0.1722023,18.6666756,279.6355591,7.0910883,0.2281918,1
20,30,0.2189189,-0.028801,0.2187423,0.0828221,0.028512,1.5253086,-0.0164589,0.163871,0.1722023,19.5527878,287.9159241,5.8720746,0.2274922,1
21,31,0.1675179,-0.0367616,0.1765795,0.0764345,0.0217042,1.3770314,0.0091354,0.1092883,0.146753,20.4352932,296.2660828,4.657793,0.2055932,1
22,32,0.1392468,-0.0367616,0.1765795,0.0764345,0.0217042,1.3770314,0.0091354,0.1092883,0.146753,20.8591995,272.4255981,3.9006565,0.1773221,1
23,33,0.1341699,0.0701038,0.1856952,0.079911,0.0269334,1.455289,0.0091354,0.123327,0.1587156,20.3394241,181.7402191,4.081017,0.1702651,1
24,36,0.1020954,1.31e-05,0.145627,0.070922,0.0275992,1.4230367,0.0135305,0.1282519,0.1463687,18.9683552,323.8336182,0.8914557,0.1205588,1
25,37,0.1098528,-0.0484014,0.1505893,0.0783391,0.0238881,1.3428426,0.0135305,0.0899397,0.1435428,19.0,244.5938721,1.1321229,0.1641569,1
26,38,0.1128994,-0.0484014,0.1505893,0.0783391,0.0238881,1.3428426,0.0135305,0.0899397,0.1435428,19.0,156.6511993,1.4405913,0.1672035,1
27,39,0.1159696,-0.1210744,0.1943675,0.0885756,0.0345931,1.261336,0.0155359,0.0382181,0.1261185,18.9912071,70.9176483,1.7452308,0.2042957,1
28,40,0.1397683,-0.1210744,0.1943675,0.0885756,0.0345931,1.261336,0.0155359,0.0382181,0.1261185,18.6443939,74.2668076,1.8953985,0.2280944,1
29,41,0.119856,0.0300938,0.1616712,0.1018738,0.0572432,1.053542,0.0155359,-0.0120884,0.0982358,18.2975826,77.6145859,2.0444281,0.2300494,1
30,45,0.2363829,0.0628186,0.2334677,0.0944269,0.0360342,1.5252051,-0.0164589,0.1558634,0.1724472,18.4187489,263.4298401,7.1718969,0.2534248,1
31,46,0.2614583,0.0628186,0.2334677,0.0944269,0.0360342,1.5252051,-0.0164589,0.1558634,0.1724472,19.6432419,265.1650696,5.5090318,0.2785002,1
32,47,0.1673267,0.0177056,0.180172,0.0797267,0.0269844,1.4046336,0.0091354,0.1203791,0.1528982,20.86413,266.9700623,3.8508985,0.2004555,1
33,48,0.1011342,0.0177056,0.180172,0.0797267,0.0269844,1.4046336,0.0091354,0.1203791,0.1528982,21.544281,242.9445038,2.8246222,0.134263,1
34,49,0.111576,-0.0009246,0.1473729,0.0656616,0.0277406,1.3859649,0.0091354,0.1236717,0.1531571,21.1372986,166.5164795,3.066433,0.1416306,1
35,53,0.1200729,-0.00696,0.1595604,0.0767347,0.0290618,1.3942918,0.0135305,0.1179487,0.1462094,18.9702015,318.3995361,0.7667102,0.1488295,1
36,54,0.1261916,-0.0169189,0.1591054,0.0752816,0.0308771,1.3208737,0.0135305,0.0842409,0.135906,19.0,247.5474396,0.9944662,0.1784551,1
37,55,0.1212629,-0.0169189,0.1591054,0.0752816,0.0308771,1.3208737,0.0135305,0.0842409,0.135906,19.0,169.9065552,1.2863678,0.1735264,1
38,56,0.091236,0.005183,0.1525644,0.0673347,0.0337733,1.2461394,0.0155359,0.0718784,0.1270425,18.9893627,94.6492844,1.5773895,0.1469085,1
39,57,0.1464789,0.005183,0.1525644,0.0673347,0.0337733,1.2461394,0.0155359,0.0718784,0.1270425,18.6425495,98.1289749,1.8345413,0.2021514,1
40,58,0.1465704,0.0960159,0.1536195,0.0840419,0.0402277,1.206426,0.0155359,0.0465799,0.1118061,18.2957382,101.6072922,2.0905552,0.212138,1
41,67,0.1771694,0.0177056,0.180172,0.0797267,0.0269844,1.4046336,0.0017884,0.1203791,0.1528982,20.620266,246.8995667,3.9540799,0.2102982,1
42,68,0.10726,0.0177056,0.180172,0.0797267,0.0269844,1.4046336,0.0017884,0.1203791,0.1528982,21.4294548,225.6021118,2.8963046,0.1403888,1
43,69,0.1063263,-0.0009246,0.1473729,0.0656616,0.0277406,1.3859649,0.0017884,0.1236717,0.1531571,21.2000237,167.0920563,2.9311433,0.1363809,1
44,70,0.1098705,-0.0009246,0.1473729,0.0656616,0.0277406,1.3859649,0.0082322,0.1236717,0.1531571,20.9681892,108.3491669,2.9708006,0.1399251,1
45,74,0.2057923,0.0488074,0.1874533,0.0707071,0.0255859,1.4971751,-0.0006388,0.1465309,0.1822382,18.373064,14.4802542,3.3185179,0.2424792,1
46,75,0.1819939,0.0488074,0.1874533,0.0707071,0.0255859,1.4971751,-0.0057784,0.1465309,0.1822382,18.3167248,7.5146375,3.1230781,0.2186808,1
47,78,0.2271386,0.0433205,0.218638,0.0839532,0.0282258,1.5997491,-0.0018648,0.1595044,0.1708713,18.154911,261.2867737,1.8999127,0.238824,1
48,79,0.2149171,0.0433205,0.218638,0.0839532,0.0282258,1.5997491,-0.0018648,0.1595044,0.1708713,18.4216862,283.0119629,1.4936002,0.2266025,1
49,80,0.183503,-0.00696,0.1595604,0.0767347,0.0290618,1.3942918,-0.0018648,0.1179487,0.1462094,18.7667675,286.3854065,1.0923045,0.2122596,1
50,81,0.1274095,-0.00696,0.1595604,0.0767347,0.0290618,1.3942918,0.0186313,0.1179487,0.1462094,19.1118488,289.6074829,0.6894925,0.1561661,1
51,82,0.142987,-0.0169189,0.1591054,0.0752816,0.0308771,1.3208737,0.0186313,0.0842409,0.135906,19.0500221,232.758194,0.9703107,0.1952505,1
52,83,0.1142074,-0.0169189,0.1591054,0.0752816,0.0308771,1.3208737,0.0186313,0.0842409,0.135906,18.9548244,170.4279022,1.3097076,0.1664709,1
